id,pName,DOB,ctName,cName,league_name
1,P. Aubameyang,1989/6/18,Gabon,Arsenal,English Premier League
2,B. Leno,1992/3/4,Germany,Arsenal,English Premier League
3,A. Lacazette,1991/5/28,France,Arsenal,English Premier League
4,Willian,1988/8/9,Brazil,Arsenal,English Premier League
5,L. Torreira,1996/2/11,Uruguay,Arsenal,English Premier League
6,G. Xhaka,1992/9/27,Switzerland,Arsenal,English Premier League
7,David Luiz,1987/4/22,Brazil,Arsenal,English Premier League
8,Sokratis,1988/6/9,Greece,Arsenal,English Premier League
9,K. Tierney,1997/6/5,Scotland,Arsenal,English Premier League
10,S. Mustafi,1992/4/17,Germany,Arsenal,English Premier League
11,A. Maitland-Niles,1997/8/29,England,Arsenal,English Premier League
12,M. Elneny,1992/7/11,Egypt,Arsenal,English Premier League
13,B. Saka,2001/9/5,England,Arsenal,English Premier League
14,R. Holding,1995/9/20,England,Arsenal,English Premier League
15,C. Chambers,1995/1/20,England,Arsenal,English Premier League
16,W. Saliba,2001/3/24,France,Arsenal,English Premier League
17,Gabriel Martinelli,2001/6/18,Brazil,Arsenal,English Premier League
18,R. Nelson,1999/12/10,England,Arsenal,English Premier League
19,J. Willock,1999/8/20,England,Arsenal,English Premier League
20,E. Nketiah,1999/5/30,England,Arsenal,English Premier League
21,E. Smith Rowe,2000/7/28,England,Arsenal,English Premier League
22,M. Macey,1994/9/9,England,Arsenal,English Premier League
23,D. Iliev,1995/2/25,North Macedonia,Arsenal,English Premier League
24,F. Balogun,2001/7/3,England,Arsenal,English Premier League
25,J. Grealish,1995/9/10,England,Aston Villa,English Premier League
26,T. Heaton,1986/4/15,England,Aston Villa,English Premier League
27,J. McGinn,1994/10/18,Scotland,Aston Villa,English Premier League
28,M. Targett,1995/9/18,England,Aston Villa,English Premier League
29,O. Watkins,1995/12/30,England,Aston Villa,English Premier League
30,Wesley,1996/11/26,Brazil,Aston Villa,English Premier League
31,M. Samatta,1992/12/13,Tanzania,Aston Villa,English Premier League
32,Douglas Luiz,1998/5/9,Brazil,Aston Villa,English Premier League
33,M. Cash,1997/8/7,England,Aston Villa,English Premier League
34,T. Mings,1993/3/13,England,Aston Villa,English Premier League
35,A. El Ghazi,1995/5/3,Netherlands,Aston Villa,English Premier League
36,M. Nakamba,1994/1/19,Zimbabwe,Aston Villa,English Premier League
37,Trezeguet,1994/10/1,Egypt,Aston Villa,English Premier League
38,C. Hourihane,1991/2/2,Republic of Ireland,Aston Villa,English Premier League
39,K. Hause,1995/7/16,England,Aston Villa,English Premier League
40,E. Konsa,1997/10/23,England,Aston Villa,English Premier League
41,A. Elmohamady,1987/9/9,Egypt,Aston Villa,English Premier League
42,J. Steer,1992/9/23,England,Aston Villa,English Premier League
43,N. Taylor,1989/2/7,Wales,Aston Villa,English Premier League
44,H. Lansbury,1990/10/12,England,Aston Villa,English Premier League
45,K. Davis,1998/2/13,England,Aston Villa,English Premier League
46,J. Ramsey,2001/5/21,England,Aston Villa,English Premier League
47,D. Revan,2000/9/19,England,Aston Villa,English Premier League
48,L. Brunt,2000/11/6,England,Aston Villa,English Premier League
49,M. Tait,2001/1/29,England,Aston Villa,English Premier League
50,C. Rowe,1999/9/2,England,Aston Villa,English Premier League
51,M. Ryan,1992/4/8,Australia,Brighton,English Premier League
52,L. Trossard,1994/12/4,Belgium,Brighton,English Premier League
53,L. Dunk,1991/11/21,England,Brighton,English Premier League
54,N. Maupay,1996/8/14,France,Brighton,English Premier League
55,A. Lallana,1988/5/10,England,Brighton,English Premier League
56,A. Mac Allister,1998/12/24,Argentina,Brighton,English Premier League
57,B. White,1997/10/8,England,Brighton,English Premier League
58,Y. Bissouma,1996/8/30,Mali,Brighton,English Premier League
59,A. Webster,1995/1/4,England,Brighton,English Premier League
60,D. Burn,1992/5/9,England,Brighton,English Premier League
61,S. March,1994/7/20,England,Brighton,English Premier League
62,D. Stephens,1989/6/12,England,Brighton,English Premier League
63,Bernardo,1995/5/14,Brazil,Brighton,English Premier League
64,F. Andone,1993/4/11,Romania,Brighton,English Premier League
65,A. Jahanbakhsh,1993/8/11,Iran,Brighton,English Premier League
66,C. Walton,1995/11/9,England,Brighton,English Premier League
67,A. Connolly,2000/1/28,Republic of Ireland,Brighton,English Premier League
68,S. Alzate,1998/9/8,Colombia,Brighton,English Premier League
69,J. Molumby,1999/8/6,Republic of Ireland,Brighton,English Premier League
70,J. Steele,1990/8/18,England,Brighton,English Premier League
71,T. Lamptey,2000/9/30,England,Brighton,English Premier League
72,Robert Sanchez,1997/11/18,Spain,Brighton,English Premier League
73,R. Yapi,2000/7/13,France,Brighton,English Premier League
74,M. Sanders,1999/1/4,England,Brighton,English Premier League
75,J. Weir,2002/1/31,England,Brighton,English Premier League
76,J. Furlong,2002/6/7,Republic of Ireland,Brighton,English Premier League
77,A. Cochrane,2000/4/21,England,Brighton,English Premier League
78,N. Pope,1992/4/19,England,Burnley,English Premier League
79,J. Tarkowski,1992/11/19,England,Burnley,English Premier League
80,B. Mee,1989/9/23,England,Burnley,English Premier League
81,D. McNeil,1999/11/22,England,Burnley,English Premier League
82,A. Westwood,1990/4/1,England,Burnley,English Premier League
83,C. Wood,1991/12/7,New Zealand,Burnley,English Premier League
84,C. Taylor,1993/9/18,England,Burnley,English Premier League
85,J. Cork,1989/6/25,England,Burnley,English Premier League
86,A. Barnes,1989/10/30,England,Burnley,English Premier League
87,J. Rodriguez,1989/7/29,England,Burnley,English Premier League
88,M. Lowton,1989/6/9,England,Burnley,English Premier League
89,R. Brady,1992/1/14,Republic of Ireland,Burnley,English Premier League
90,E. Pieters,1988/8/7,Netherlands,Burnley,English Premier League
91,P. Bardsley,1985/6/28,Scotland,Burnley,English Premier League
92,J. Brownhill,1995/12/19,England,Burnley,English Premier League
93,K. Long,1990/8/18,Republic of Ireland,Burnley,English Premier League
94,B. Peacock-Farrell,1996/10/29,Northern Ireland,Burnley,English Premier League
95,J. Dunne,1997/10/19,Republic of Ireland,Burnley,English Premier League
96,W. Norris,1993/8/12,England,Burnley,English Premier League
97,A. Koiki,1999/8/22,England,Burnley,English Premier League
